step,total_loss,pde_loss,bc_loss,grad_norm
0.0,4501144.0,28.908693313598633,45011.1484375,0.9999999710331757
200.0,4390925.5,2062.871826171875,43888.625,1.0000000558652453
400.0,4272775.0,6717.13427734375,42660.578125,1.0000000724084281
600.0,4183730.75,10106.2734375,41736.24609375,1.0000000489929632
800.0,4109870.5,12299.501953125,40975.7109375,1.0000000742631212
1000.0,4044438.0,14179.58984375,40302.5859375,0.999999810174997
1200.0,3982352.0,15172.87109375,39671.79296875,1.0000002153325027
1400.0,3925888.75,18133.18359375,39077.5546875,1.000000320592684
1600.0,3870517.0,20068.4765625,38504.484375,0.9999999994370861
1800.0,3817513.25,21769.48828125,37957.4375,0.9999999810207532
1999.0,3765392.25,23013.1484375,37423.7890625,0.9999996261197795
