backend,seed,step,eta_pinn,eta_fem,loss_pde,loss_bc,loss_eta,loss_J,loss_disp,loss_gap,loss_curv,min_detJ,min_gap,max_curv,wall_time_sec
mlp,0,0,0.001804332231995838,0.9296054451244969,0.005275856237858534,0.7314077615737915,-0.0,0.0,0.0,0.0,0.0,0.9999915361404419,0.7434856295585632,0.8739787340164185,0.3045508861541748
mlp,0,200,1.0373088951430203,,0.08016513288021088,0.0023274007253348827,-1.506730556488037,0.0,1.451438151889306e-07,0.0,0.0,0.9992914795875549,0.7432850003242493,0.8745318055152893,32.90235900878906
mlp,0,250,1.0201149144750035,0.9296054436186586,0.07262569665908813,0.0017855388578027487,-1.4691519737243652,0.0,1.5820498333596333e-07,0.0,0.0,0.9992496371269226,0.743273138999939,0.8744755983352661,41.00249409675598
mlp,0,400,1.1206521418863817,,0.057626329362392426,0.0021808347664773464,-1.6736050844192505,0.0,2.17189892737224e-07,0.0,0.0,0.9991298913955688,0.7432389855384827,0.8745795488357544,67.36264085769653
mlp,0,500,1.1453096247508652,0.9296054436186586,0.05928992107510567,0.0009833727963268757,-1.8100295066833496,0.0,2.5244952439607005e-07,0.0,0.0,0.9990752339363098,0.7432234287261963,0.874823272228241,84.39993906021118
mlp,0,600,1.2273857960895445,,0.0498589426279068,0.0003624719684012234,-1.928314208984375,0.0,2.875145241887367e-07,0.0,0.0,0.9990230798721313,0.7432091236114502,0.8748737573623657,101.33797407150269
mlp,0,750,1.3902879573855391,0.9296054436186586,0.04869673401117325,0.00015297430218197405,-2.5159130096435547,0.0,3.897085036896897e-07,0.0,0.0,0.9988918900489807,0.743171751499176,0.8749101161956787,126.36636185646057
mlp,0,800,1.5000931332390834,,0.05645613744854927,0.0001446701935492456,-3.085360527038574,0.0,4.665878918785893e-07,0.0,0.0,0.9988083243370056,0.7431480288505554,0.8749916553497314,135.4954800605774
mlp,0,999,2.596139281907153,0.9296054436186586,0.13552358746528625,0.00013401063915807754,-7.512218475341797,0.0,7.128827519409242e-07,0.0,0.0,0.9986040592193604,0.7430902719497681,0.875422477722168,168.3731551170349
pixel,0,0,0.138985437675899,0.9296054451244969,6.741598213011457e-08,0.24999848008155823,-4.33299683209043e-05,0.0,0.0,0.0,0.0,0.9999962449073792,0.7434870600700378,0.8739367127418518,0.27588915824890137
pixel,0,200,21.893586280275528,,0.8154097199440002,0.0006207687547430396,-121.26873779296875,0.0,5.245001375442371e-06,0.0,0.0,0.9961580634117126,0.743757963180542,0.8774696588516235,39.8475067615509
pixel,0,250,39.7161887654412,0.9296059369001107,91.08607482910156,0.0011864325497299433,-289.5403137207031,0.0,2.2743588488083333e-05,0.0,0.0,0.9914616942405701,0.7450243830680847,0.8787574768066406,49.609269857406616
pixel,0,400,26.572303393469696,,10.323202133178711,0.0017635978292673826,-1211.8092041015625,0.0,0.000496074790135026,0.0,0.0,0.9661820530891418,0.7515422701835632,0.8925818204879761,79.4498999118805
pixel,0,500,25.959567722677676,0.8927937053348296,2563.210205078125,0.0043020304292440414,-3237.559326171875,0.0,0.0008291671983897686,0.0,0.0,0.9576990008354187,0.7530292868614197,0.8967035412788391,99.28174686431885
pixel,0,600,8.70157276362617,,20.801834106445312,0.0029497663490474224,-1289.033447265625,0.0,0.0007760166190564632,0.0,0.0,0.9586726427078247,0.7543168067932129,0.8973414897918701,118.84226512908936
pixel,0,750,11.471879524617036,0.8671768904080677,1803.8934326171875,0.006833452731370926,-4559.02978515625,0.0,0.001046702149324119,0.0,0.0,0.951616644859314,0.757267415523529,0.9041409492492676,148.32408380508423
pixel,0,800,18.036094787927787,,44.67707443237305,0.0069613028317689896,-5810.0947265625,0.0,0.0010600974783301353,0.0,0.0,0.9513863921165466,0.7572999596595764,0.9043049812316895,158.10099387168884
pixel,0,999,22.935256655474298,0.8671768904080677,77.15452575683594,0.008846590295433998,-8031.65625,0.0,0.001068677520379424,0.0,0.0,0.9511858224868774,0.7576324939727783,0.9050070643424988,197.08048510551453
pig,0,0,-0.0049006773678917604,0.9296054451244969,0.0006682280218228698,0.2500394582748413,0.004420907702296972,0.0,0.0,0.0,0.0,0.9999932050704956,0.7434883117675781,0.8739385604858398,1.0155799388885498
pig,0,200,2.9442680908181043,,0.15460987389087677,4.213676947983913e-05,-8.1842679977417,0.0,4.943070052831899e-06,0.0,0.0,0.9960116147994995,0.7446306943893433,0.8753330707550049,114.34847688674927
pig,0,250,7.50572242891406,0.9296059720423698,2.219050168991089,0.00014729074609931558,-37.24241256713867,0.0,3.226953049306758e-05,0.0,0.0,0.9902260899543762,0.746426522731781,0.8781855702400208,138.2663927078247
pig,0,400,9.291941216933285,,2.5362210273742676,0.00026108455494977534,-152.5464324951172,0.0,0.00033330725273117423,0.0,0.0,0.971782386302948,0.7542904019355774,0.8901621103286743,211.0582399368286
pig,0,500,14.336686969076064,0.8905116266253422,923.81689453125,0.005271667614579201,-1398.5589599609375,0.0,0.0007107755518518388,0.0,0.0,0.9603016972541809,0.7604246735572815,0.9036543965339661,260.48714900016785
pig,0,600,17.242659005845997,,15.935124397277832,0.013055599294602871,-1058.8525390625,0.0,0.0009001123253256083,0.0,0.0,0.9558321833610535,0.7605116367340088,0.9068697690963745,309.4917869567871
pig,0,750,26.396613416721216,0.8671753916469336,388.7514953613281,0.004279621876776218,-2190.448486328125,0.0,0.0012072722893208265,0.0,0.0,0.9486298561096191,0.7592604160308838,0.9083435535430908,389.3755929470062
pig,0,800,25.547369022433372,,169.53778076171875,0.004478728864341974,-1681.890380859375,0.0,0.0012078752042725682,0.0,0.0,0.9485878944396973,0.7593558430671692,0.9084185361862183,422.9160678386688
pig,0,999,21.971957804730526,0.8671753916469336,89.55168151855469,0.007600398734211922,-2051.96875,0.0,0.0012314600171521306,0.0,0.0,0.9480825662612915,0.7596673965454102,0.9090800881385803,542.6255648136139
