step,total_loss,pde_loss,bc_loss,grad_norm
0.0,4502226.5,847.985107421875,45013.78515625,0.9999999822460913
200.0,4288906.0,322.8900451660156,42885.83203125,1.0000000320082152
400.0,4185982.75,622.1751708984375,41853.60546875,0.999999968840057
600.0,4089386.75,991.3946533203125,40883.953125,1.0000000271190266
800.0,3996478.75,1674.47705078125,39948.04296875,0.9999999571090336
1000.0,3907355.25,2538.002197265625,39048.171875,1.0000000668619713
1200.0,3822193.5,3658.650634765625,38185.34765625,0.9999999837383303
1400.0,3742621.0,5255.0615234375,37373.66015625,1.0000000260762782
1600.0,3670125.0,6062.9755859375,36640.62109375,1.0000000457986318
1800.0,3604524.0,8595.375,35959.28515625,1.000000062278931
1999.0,3542020.25,8404.64453125,35336.15625,0.999999814115058
