step,val_residual_mse,eta_fit,bc_rmse,wall_sec
500,0.000240,1.000711,4.644e-04,113
1000,0.000096,1.001958,4.607e-04,223
1500,0.000054,1.001889,6.353e-04,355
2000,0.000031,1.002117,1.000e-04,474
2500,0.000027,1.001368,2.847e-04,583
3000,0.000021,1.002989,1.403e-04,695
3500,0.000018,1.002082,1.179e-03,808
4000,0.000014,1.002455,8.776e-05,919
4500,0.000078,1.004149,1.894e-03,1032
5000,0.000014,1.002991,1.079e-04,1143
5500,0.000012,1.003434,2.147e-04,1255
6000,0.000009,1.003112,1.174e-04,1370
6500,0.000008,1.002966,1.159e-04,1481
7000,0.000112,1.014145,1.528e-03,1603
7500,0.000009,1.003747,5.396e-04,1714
8000,0.000018,1.003529,1.524e-03,1830
8500,0.000005,1.002838,1.259e-04,1943
9000,0.000094,0.991212,2.553e-03,2056
9500,0.000005,1.003810,2.524e-04,2164
10000,0.000003,1.002078,4.004e-05,2273
10500,0.000006,1.003403,4.325e-04,2379
11000,0.000005,1.003725,4.993e-04,2484
11500,0.000003,1.002807,4.494e-05,2589
12000,0.000002,1.002251,7.179e-05,2698
12500,0.000002,1.003248,3.188e-05,2805
13000,0.000021,1.005405,4.821e-04,2915
13500,0.000002,1.002577,1.567e-04,3021
14000,0.000002,1.003393,2.342e-04,3126
14500,0.000002,1.002660,8.403e-05,3233
15000,0.000002,1.002918,1.364e-04,3339
15500,0.000001,1.002756,5.290e-05,3447
16000,0.000001,1.002781,2.954e-05,3554
16500,0.000001,1.002499,2.915e-05,3662
17000,0.000001,1.002720,2.808e-05,3767
17500,0.000001,1.002771,2.162e-05,3872
18000,0.000001,1.002778,1.820e-05,3978
18500,0.000001,1.002850,1.925e-05,4084
19000,0.000001,1.002770,1.664e-05,4188
19500,0.000001,1.002736,1.630e-05,4294
20000,0.000001,1.002719,1.579e-05,4399
