step,val_residual_mse,eta_fit,bc_rmse,wall_sec
500,0.316888,0.682494,6.370e-08,97
1000,0.200648,0.685507,6.245e-08,184
1500,0.209658,0.688421,6.248e-08,275
2000,0.186893,0.691943,6.236e-08,364
2500,0.184054,0.688608,6.236e-08,452
3000,0.183227,0.688776,6.233e-08,539
3500,0.181910,0.688949,6.232e-08,636
4000,0.180500,0.689088,6.231e-08,728
4500,0.182820,0.689762,6.233e-08,824
5000,0.200618,0.689900,6.268e-08,913
5500,0.182223,0.690621,6.231e-08,1014
6000,0.179937,0.690687,6.232e-08,1102
6500,0.178015,0.690947,6.233e-08,1190
7000,0.175206,0.691509,6.235e-08,1280
7500,0.174700,0.691777,6.239e-08,1371
8000,0.169160,0.692633,6.233e-08,1459
8500,0.180798,0.691203,6.233e-08,1550
9000,0.184532,0.690724,6.234e-08,1638
9500,0.175023,0.691121,6.233e-08,1724
10000,0.184269,0.691613,6.234e-08,1820
10500,0.179899,0.691853,6.233e-08,1925
11000,0.181278,0.691568,6.231e-08,2052
11500,0.182869,0.692958,6.231e-08,2140
12000,0.189502,0.691209,6.240e-08,2226
12500,0.170814,0.693585,6.231e-08,2312
13000,0.168836,0.694101,6.233e-08,2405
13500,0.177869,0.694507,6.233e-08,2498
14000,0.179438,0.692644,6.231e-08,2587
14500,0.172891,0.694730,6.232e-08,2688
15000,0.174571,0.696855,6.230e-08,2784
15500,0.194988,0.691243,6.235e-08,2879
16000,0.172036,0.694260,6.227e-08,2973
16500,0.167006,0.695024,6.232e-08,3058
17000,0.155084,0.699756,6.216e-08,3149
17500,0.165529,0.696604,6.232e-08,3236
18000,0.156388,0.699427,6.222e-08,3323
18500,0.152464,0.701899,6.222e-08,3421
19000,0.149505,0.703702,6.225e-08,3546
19500,0.146446,0.705200,6.178e-08,3663
20000,0.146521,0.705318,6.186e-08,3789
