step,val_residual_mse,eta_fit,bc_rmse,wall_sec
500,0.000299,1.003630,3.959e-04,84
1000,0.000115,1.002655,1.977e-04,185
1500,0.000055,1.003620,1.276e-04,283
2000,0.000038,1.000020,4.186e-04,372
2500,0.000032,1.002678,1.442e-04,453
3000,0.000030,1.002417,1.201e-04,533
3500,0.000028,1.002912,1.001e-04,609
4000,0.000022,1.003812,1.399e-04,686
4500,0.000018,1.003010,3.537e-04,763
5000,0.000049,1.004431,9.777e-04,838
5500,0.000055,0.999127,1.531e-03,914
6000,0.000531,0.989670,8.791e-03,991
6500,0.000012,1.003005,1.093e-04,1071
7000,0.000011,1.003254,4.056e-04,1158
7500,0.000013,1.001651,9.855e-04,1252
8000,0.000032,1.003786,2.062e-03,1331
8500,0.000115,0.991867,8.547e-04,1408
9000,0.000007,1.002778,8.651e-05,1494
9500,0.000009,1.002484,3.469e-04,1571
10000,0.000006,1.002160,3.160e-04,1648
10500,0.000011,1.001536,6.255e-04,1733
11000,0.000019,1.006460,2.760e-04,1809
11500,0.000004,1.002985,1.236e-04,1893
12000,0.000035,1.010939,8.431e-04,1976
12500,0.000008,1.003541,3.426e-04,2058
13000,0.000012,1.005584,1.778e-04,2147
13500,0.000004,1.001483,3.259e-04,2228
14000,0.000002,1.002434,9.122e-05,2314
14500,0.000002,1.002880,4.953e-05,2393
15000,0.000002,1.002537,5.572e-05,2471
15500,0.000002,1.002950,7.256e-05,2550
16000,0.000002,1.002752,5.390e-05,2641
16500,0.000001,1.002483,5.512e-05,2718
17000,0.000001,1.002591,2.414e-05,2796
17500,0.000001,1.002668,2.873e-05,2877
18000,0.000001,1.002832,2.402e-05,2955
18500,0.000001,1.002787,2.005e-05,3034
19000,0.000001,1.002708,1.949e-05,3124
19500,0.000001,1.002801,1.903e-05,3226
20000,0.000001,1.002797,1.818e-05,3321
